entity,iso_code,date,indicator,value
United States,USA,17/06/2021,Daily ICU occupancy,3806
United States,USA,17/06/2021,Daily ICU occupancy per million,11.251
United States,USA,17/06/2021,Daily hospital occupancy,13094
United States,USA,17/06/2021,Daily hospital occupancy per million,38.706
United States,USA,17/06/2021,Weekly new hospital admissions,13967
United States,USA,17/06/2021,Weekly new hospital admissions per million,41.287
United States,USA,18/06/2021,Daily ICU occupancy,3739
United States,USA,18/06/2021,Daily ICU occupancy per million,11.053
United States,USA,18/06/2021,Daily hospital occupancy,12855
United States,USA,18/06/2021,Daily hospital occupancy per million,38
United States,USA,18/06/2021,Weekly new hospital admissions,13736
United States,USA,18/06/2021,Weekly new hospital admissions per million,40.604
United States,USA,19/06/2021,Daily ICU occupancy,3673
United States,USA,19/06/2021,Daily ICU occupancy per million,10.858
United States,USA,19/06/2021,Daily hospital occupancy,12483
United States,USA,19/06/2021,Daily hospital occupancy per million,36.9
United States,USA,19/06/2021,Weekly new hospital admissions,13550
United States,USA,19/06/2021,Weekly new hospital admissions per million,40.054
United States,USA,20/06/2021,Daily ICU occupancy,3663
United States,USA,20/06/2021,Daily ICU occupancy per million,10.828
United States,USA,20/06/2021,Daily hospital occupancy,12503
United States,USA,20/06/2021,Daily hospital occupancy per million,36.959
United States,USA,20/06/2021,Weekly new hospital admissions,13336
United States,USA,20/06/2021,Weekly new hospital admissions per million,39.422
United States,USA,21/06/2021,Daily ICU occupancy,3708
United States,USA,21/06/2021,Daily ICU occupancy per million,10.961
United States,USA,21/06/2021,Daily hospital occupancy,12593
United States,USA,21/06/2021,Daily hospital occupancy per million,37.225
United States,USA,21/06/2021,Weekly new hospital admissions,13180
United States,USA,21/06/2021,Weekly new hospital admissions per million,38.961
United States,USA,22/06/2021,Daily ICU occupancy,3744
United States,USA,22/06/2021,Daily ICU occupancy per million,11.067
United States,USA,22/06/2021,Daily hospital occupancy,12539
United States,USA,22/06/2021,Daily hospital occupancy per million,37.066
