entity,iso_code,date,indicator,value
United States,USA,20/08/2021,Daily hospital occupancy,90191
United States,USA,20/08/2021,Daily hospital occupancy per million,266.609
United States,USA,20/08/2021,Weekly new hospital admissions,84653
United States,USA,20/08/2021,Weekly new hospital admissions per million,250.238
United States,USA,21/08/2021,Daily ICU occupancy,23653
United States,USA,21/08/2021,Daily ICU occupancy per million,69.919
United States,USA,21/08/2021,Daily hospital occupancy,90417
United States,USA,21/08/2021,Daily hospital occupancy per million,267.277
United States,USA,21/08/2021,Weekly new hospital admissions,85375
United States,USA,21/08/2021,Weekly new hospital admissions per million,252.372
United States,USA,22/08/2021,Daily ICU occupancy,24082
United States,USA,22/08/2021,Daily ICU occupancy per million,71.187
United States,USA,22/08/2021,Daily hospital occupancy,92239
United States,USA,22/08/2021,Daily hospital occupancy per million,272.663
United States,USA,22/08/2021,Weekly new hospital admissions,86340
United States,USA,22/08/2021,Weekly new hospital admissions per million,255.225
United States,USA,23/08/2021,Daily ICU occupancy,24559
United States,USA,23/08/2021,Daily ICU occupancy per million,72.598
United States,USA,23/08/2021,Daily hospital occupancy,94682
United States,USA,23/08/2021,Daily hospital occupancy per million,279.884
United States,USA,23/08/2021,Weekly new hospital admissions,86820
United States,USA,23/08/2021,Weekly new hospital admissions per million,256.644
United States,USA,24/08/2021,Daily ICU occupancy,25053
United States,USA,24/08/2021,Daily ICU occupancy per million,74.058
United States,USA,24/08/2021,Daily hospital occupancy,95992
United States,USA,24/08/2021,Daily hospital occupancy per million,283.757
United States,USA,24/08/2021,Weekly new hospital admissions,87107
United States,USA,24/08/2021,Weekly new hospital admissions per million,257.492
United States,USA,25/08/2021,Daily ICU occupancy,25062
United States,USA,25/08/2021,Daily ICU occupancy per million,74.084
United States,USA,25/08/2021,Daily hospital occupancy,95976
United States,USA,25/08/2021,Daily hospital occupancy per million,283.709
United States,USA,25/08/2021,Weekly new hospital admissions,87020
United States,USA,25/08/2021,Weekly new hospital admissions per million,257.235
United States,USA,26/08/2021,Daily ICU occupancy,25249
United States,USA,26/08/2021,Daily ICU occupancy per million,74.637
United States,USA,26/08/2021,Daily hospital occupancy,96370
United States,USA,26/08/2021,Daily hospital occupancy per million,284.874
United States,USA,26/08/2021,Weekly new hospital admissions,87286
United States,USA,26/08/2021,Weekly new hospital admissions per million,258.021
United States,USA,27/08/2021,Daily ICU occupancy,25365
United States,USA,27/08/2021,Daily ICU occupancy per million,74.98
United States,USA,27/08/2021,Daily hospital occupancy,96192
United States,USA,27/08/2021,Daily hospital occupancy per million,284.348
United States,USA,27/08/2021,Weekly new hospital admissions,87424
United States,USA,27/08/2021,Weekly new hospital admissions per million,258.429
United States,USA,28/08/2021,Daily ICU occupancy,25435
United States,USA,28/08/2021,Daily ICU occupancy per million,75.187
United States,USA,28/08/2021,Daily hospital occupancy,95071
United States,USA,28/08/2021,Daily hospital occupancy per million,281.034
United States,USA,28/08/2021,Weekly new hospital admissions,87269
United States,USA,28/08/2021,Weekly new hospital admissions per million,257.971
United States,USA,29/08/2021,Daily ICU occupancy,25781
United States,USA,29/08/2021,Daily ICU occupancy per million,76.21
United States,USA,29/08/2021,Daily hospital occupancy,96125
United States,USA,29/08/2021,Daily hospital occupancy per million,284.15
United States,USA,29/08/2021,Weekly new hospital admissions,86862
United States,USA,29/08/2021,Weekly new hospital admissions per million,256.768
United States,USA,30/08/2021,Daily ICU occupancy,25919
United States,USA,30/08/2021,Daily ICU occupancy per million,76.618
United States,USA,30/08/2021,Daily hospital occupancy,97200
United States,USA,30/08/2021,Daily hospital occupancy per million,287.328
United States,USA,30/08/2021,Weekly new hospital admissions,86634
United States,USA,30/08/2021,Weekly new hospital admissions per million,256.094
United States,USA,31/08/2021,Daily ICU occupancy,25904
United States,USA,31/08/2021,Daily ICU occupancy per million,76.573
United States,USA,31/08/2021,Daily hospital occupancy,97821
United States,USA,31/08/2021,Daily hospital occupancy per million,289.163
United States,USA,31/08/2021,Weekly new hospital admissions,86478
United States,USA,31/08/2021,Weekly new hospital admissions per million,255.633
United States,USA,01/09/2021,Daily ICU occupancy,25963
United States,USA,01/09/2021,Daily ICU occupancy per million,76.748
United States,USA,01/09/2021,Daily hospital occupancy,97992
United States,USA,01/09/2021,Daily hospital occupancy per million,289.669
United States,USA,01/09/2021,Weekly new hospital admissions,86814
United States,USA,01/09/2021,Weekly new hospital admissions per million,256.626
United States,USA,02/09/2021,Daily ICU occupancy,26045
United States,USA,02/09/2021,Daily ICU occupancy per million,76.99
United States,USA,02/09/2021,Daily hospital occupancy,97811
United States,USA,02/09/2021,Daily hospital occupancy per million,289.134
United States,USA,02/09/2021,Weekly new hospital admissions,86581
United States,USA,02/09/2021,Weekly new hospital admissions per million,255.937
United States,USA,03/09/2021,Daily ICU occupancy,25961
United States,USA,03/09/2021,Daily ICU occupancy per million,76.742
United States,USA,03/09/2021,Daily hospital occupancy,96835
United States,USA,03/09/2021,Daily hospital occupancy per million,286.249
United States,USA,03/09/2021,Weekly new hospital admissions,85836
United States,USA,03/09/2021,Weekly new hospital admissions per million,253.735
United States,USA,04/09/2021,Daily ICU occupancy,25609
United States,USA,04/09/2021,Daily ICU occupancy per million,75.701
United States,USA,04/09/2021,Daily hospital occupancy,95082
United States,USA,04/09/2021,Daily hospital occupancy per million,281.067
United States,USA,04/09/2021,Weekly new hospital admissions,85685
United States,USA,04/09/2021,Weekly new hospital admissions per million,253.289
United States,USA,05/09/2021,Daily ICU occupancy,25630
United States,USA,05/09/2021,Daily ICU occupancy per million,75.763
United States,USA,05/09/2021,Daily hospital occupancy,95280
United States,USA,05/09/2021,Daily hospital occupancy per million,281.652
United States,USA,05/09/2021,Weekly new hospital admissions,85521
United States,USA,05/09/2021,Weekly new hospital admissions per million,252.804
United States,USA,06/09/2021,Daily ICU occupancy,25801
United States,USA,06/09/2021,Daily ICU occupancy per million,76.269
United States,USA,06/09/2021,Daily hospital occupancy,95910
United States,USA,06/09/2021,Daily hospital occupancy per million,283.514
United States,USA,06/09/2021,Weekly new hospital admissions,85139
United States,USA,06/09/2021,Weekly new hospital admissions per million,251.675
United States,USA,07/09/2021,Daily ICU occupancy,26099
United States,USA,07/09/2021,Daily ICU occupancy per million,77.15
United States,USA,07/09/2021,Daily hospital occupancy,96810
United States,USA,07/09/2021,Daily hospital occupancy per million,286.175
United States,USA,07/09/2021,Weekly new hospital admissions,83639
United States,USA,07/09/2021,Weekly new hospital admissions per million,247.241
United States,USA,08/09/2021,Daily ICU occupancy,25998
United States,USA,08/09/2021,Daily ICU occupancy per million,76.851
United States,USA,08/09/2021,Daily hospital occupancy,96485
United States,USA,08/09/2021,Daily hospital occupancy per million,285.214
United States,USA,08/09/2021,Weekly new hospital admissions,83015
United States,USA,08/09/2021,Weekly new hospital admissions per million,245.396
United States,USA,09/09/2021,Daily ICU occupancy,25925
United States,USA,09/09/2021,Daily ICU occupancy per million,76.635
United States,USA,09/09/2021,Daily hospital occupancy,95684
United States,USA,09/09/2021,Daily hospital occupancy per million,282.846
United States,USA,09/09/2021,Weekly new hospital admissions,82454
United States,USA,09/09/2021,Weekly new hospital admissions per million,243.738
United States,USA,10/09/2021,Daily ICU occupancy,25747
United States,USA,10/09/2021,Daily ICU occupancy per million,76.109
United States,USA,10/09/2021,Daily hospital occupancy,94559
United States,USA,10/09/2021,Daily hospital occupancy per million,279.521
United States,USA,10/09/2021,Weekly new hospital admissions,82184
United States,USA,10/09/2021,Weekly new hospital admissions per million,242.94
United States,USA,11/09/2021,Daily ICU occupancy,25326
United States,USA,11/09/2021,Daily ICU occupancy per million,74.865
United States,USA,11/09/2021,Daily hospital occupancy,91979
United States,USA,11/09/2021,Daily hospital occupancy per million,271.894
United States,USA,11/09/2021,Weekly new hospital admissions,81287
United States,USA,11/09/2021,Weekly new hospital admissions per million,240.288
United States,USA,12/09/2021,Daily ICU occupancy,25292
United States,USA,12/09/2021,Daily ICU occupancy per million,74.764
United States,USA,12/09/2021,Daily hospital occupancy,91541
United States,USA,12/09/2021,Daily hospital occupancy per million,270.599
United States,USA,12/09/2021,Weekly new hospital admissions,80339
United States,USA,12/09/2021,Weekly new hospital admissions per million,237.486
United States,USA,13/09/2021,Daily ICU occupancy,25514
United States,USA,13/09/2021,Daily ICU occupancy per million,75.421
United States,USA,13/09/2021,Daily hospital occupancy,92158
United States,USA,13/09/2021,Daily hospital occupancy per million,272.423
United States,USA,13/09/2021,Weekly new hospital admissions,79448
United States,USA,13/09/2021,Weekly new hospital admissions per million,234.852
United States,USA,14/09/2021,Daily ICU occupancy,25218
United States,USA,14/09/2021,Daily ICU occupancy per million,74.546
United States,USA,14/09/2021,Daily hospital occupancy,90633
United States,USA,14/09/2021,Daily hospital occupancy per million,267.915
United States,USA,14/09/2021,Weekly new hospital admissions,79204
United States,USA,14/09/2021,Weekly new hospital admissions per million,234.131
United States,USA,15/09/2021,Daily ICU occupancy,24877
United States,USA,15/09/2021,Daily ICU occupancy per million,73.538
United States,USA,15/09/2021,Daily hospital occupancy,89538
United States,USA,15/09/2021,Daily hospital occupancy per million,264.678
United States,USA,15/09/2021,Weekly new hospital admissions,77622
United States,USA,15/09/2021,Weekly new hospital admissions per million,229.454
United States,USA,16/09/2021,Daily ICU occupancy,24734
United States,USA,16/09/2021,Daily ICU occupancy per million,73.115
United States,USA,16/09/2021,Daily hospital occupancy,88250
United States,USA,16/09/2021,Daily hospital occupancy per million,260.871
United States,USA,16/09/2021,Weekly new hospital admissions,76225
United States,USA,16/09/2021,Weekly new hospital admissions per million,225.325
United States,USA,17/09/2021,Daily ICU occupancy,24435
United States,USA,17/09/2021,Daily ICU occupancy per million,72.231
United States,USA,17/09/2021,Daily hospital occupancy,86780
United States,USA,17/09/2021,Daily hospital occupancy per million,256.526
United States,USA,17/09/2021,Weekly new hospital admissions,74764
United States,USA,17/09/2021,Weekly new hospital admissions per million,221.006
United States,USA,18/09/2021,Daily ICU occupancy,23978
United States,USA,18/09/2021,Daily ICU occupancy per million,70.88
United States,USA,18/09/2021,Daily hospital occupancy,84475
United States,USA,18/09/2021,Daily hospital occupancy per million,249.712
United States,USA,18/09/2021,Weekly new hospital admissions,73422
United States,USA,18/09/2021,Weekly new hospital admissions per million,217.039
United States,USA,19/09/2021,Daily ICU occupancy,23779
United States,USA,19/09/2021,Daily ICU occupancy per million,70.292
United States,USA,19/09/2021,Daily hospital occupancy,83494
United States,USA,19/09/2021,Daily hospital occupancy per million,246.812
United States,USA,19/09/2021,Weekly new hospital admissions,72066
United States,USA,19/09/2021,Weekly new hospital admissions per million,213.03
United States,USA,20/09/2021,Daily ICU occupancy,23686
United States,USA,20/09/2021,Daily ICU occupancy per million,70.017
United States,USA,20/09/2021,Daily hospital occupancy,83675
United States,USA,20/09/2021,Daily hospital occupancy per million,247.347
United States,USA,20/09/2021,Weekly new hospital admissions,70593
United States,USA,20/09/2021,Weekly new hospital admissions per million,208.676
United States,USA,21/09/2021,Daily ICU occupancy,23536
United States,USA,21/09/2021,Daily ICU occupancy per million,69.573
United States,USA,21/09/2021,Daily hospital occupancy,82358
United States,USA,21/09/2021,Daily hospital occupancy per million,243.454
United States,USA,21/09/2021,Weekly new hospital admissions,69232
United States,USA,21/09/2021,Weekly new hospital admissions per million,204.653
United States,USA,22/09/2021,Daily ICU occupancy,23127
United States,USA,22/09/2021,Daily ICU occupancy per million,68.364
United States,USA,22/09/2021,Daily hospital occupancy,80843
United States,USA,22/09/2021,Daily hospital occupancy per million,238.976
United States,USA,22/09/2021,Weekly new hospital admissions,68007
United States,USA,22/09/2021,Weekly new hospital admissions per million,201.032
United States,USA,23/09/2021,Daily ICU occupancy,22585
United States,USA,23/09/2021,Daily ICU occupancy per million,66.762
United States,USA,23/09/2021,Daily hospital occupancy,79242
United States,USA,23/09/2021,Daily hospital occupancy per million,234.243
United States,USA,23/09/2021,Weekly new hospital admissions,66414
United States,USA,23/09/2021,Weekly new hospital admissions per million,196.323
United States,USA,24/09/2021,Daily ICU occupancy,22185
United States,USA,24/09/2021,Daily ICU occupancy per million,65.58
United States,USA,24/09/2021,Daily hospital occupancy,77387
United States,USA,24/09/2021,Daily hospital occupancy per million,228.759
United States,USA,24/09/2021,Weekly new hospital admissions,65038
United States,USA,24/09/2021,Weekly new hospital admissions per million,192.255
United States,USA,25/09/2021,Daily ICU occupancy,21727
United States,USA,25/09/2021,Daily ICU occupancy per million,64.226
United States,USA,25/09/2021,Daily hospital occupancy,74807
United States,USA,25/09/2021,Daily hospital occupancy per million,221.133
United States,USA,25/09/2021,Weekly new hospital admissions,63577
United States,USA,25/09/2021,Weekly new hospital admissions per million,187.936
United States,USA,26/09/2021,Daily ICU occupancy,21543
United States,USA,26/09/2021,Daily ICU occupancy per million,63.682
United States,USA,26/09/2021,Daily hospital occupancy,74161
United States,USA,26/09/2021,Daily hospital occupancy per million,219.223
United States,USA,26/09/2021,Weekly new hospital admissions,62287
United States,USA,26/09/2021,Weekly new hospital admissions per million,184.123
United States,USA,27/09/2021,Daily ICU occupancy,21256
United States,USA,27/09/2021,Daily ICU occupancy per million,62.834
United States,USA,27/09/2021,Daily hospital occupancy,73886
United States,USA,27/09/2021,Daily hospital occupancy per million,218.41
United States,USA,27/09/2021,Weekly new hospital admissions,60982
United States,USA,27/09/2021,Weekly new hospital admissions per million,180.266
United States,USA,28/09/2021,Daily ICU occupancy,20882
United States,USA,28/09/2021,Daily ICU occupancy per million,61.728
United States,USA,28/09/2021,Daily hospital occupancy,72525
United States,USA,28/09/2021,Daily hospital occupancy per million,214.387
United States,USA,28/09/2021,Weekly new hospital admissions,59734
United States,USA,28/09/2021,Weekly new hospital admissions per million,176.576
United States,USA,29/09/2021,Daily ICU occupancy,20400
United States,USA,29/09/2021,Daily ICU occupancy per million,60.303
United States,USA,29/09/2021,Daily hospital occupancy,70704
United States,USA,29/09/2021,Daily hospital occupancy per million,209.004
United States,USA,29/09/2021,Weekly new hospital admissions,58285
United States,USA,29/09/2021,Weekly new hospital admissions per million,172.293
United States,USA,30/09/2021,Daily ICU occupancy,19802
United States,USA,30/09/2021,Daily ICU occupancy per million,58.536
United States,USA,30/09/2021,Daily hospital occupancy,68918
United States,USA,30/09/2021,Daily hospital occupancy per million,203.725
United States,USA,30/09/2021,Weekly new hospital admissions,56959
United States,USA,30/09/2021,Weekly new hospital admissions per million,168.373
United States,USA,01/10/2021,Daily ICU occupancy,19272
United States,USA,01/10/2021,Daily ICU occupancy per million,56.969
United States,USA,01/10/2021,Daily hospital occupancy,67124
United States,USA,01/10/2021,Daily hospital occupancy per million,198.422
United States,USA,01/10/2021,Weekly new hospital admissions,55838
United States,USA,01/10/2021,Weekly new hospital admissions per million,165.06
United States,USA,02/10/2021,Daily ICU occupancy,18942
United States,USA,02/10/2021,Daily ICU occupancy per million,55.993
United States,USA,02/10/2021,Daily hospital occupancy,64834
United States,USA,02/10/2021,Daily hospital occupancy per million,191.652
United States,USA,02/10/2021,Weekly new hospital admissions,54719
United States,USA,02/10/2021,Weekly new hospital admissions per million,161.752
United States,USA,03/10/2021,Daily ICU occupancy,18770
United States,USA,03/10/2021,Daily ICU occupancy per million,55.485
United States,USA,03/10/2021,Daily hospital occupancy,64381
United States,USA,03/10/2021,Daily hospital occupancy per million,190.313
United States,USA,03/10/2021,Weekly new hospital admissions,53735
United States,USA,03/10/2021,Weekly new hospital admissions per million,158.843
United States,USA,04/10/2021,Daily ICU occupancy,18674
United States,USA,04/10/2021,Daily ICU occupancy per million,55.201
United States,USA,04/10/2021,Daily hospital occupancy,64487
United States,USA,04/10/2021,Daily hospital occupancy per million,190.626
United States,USA,04/10/2021,Weekly new hospital admissions,52896
United States,USA,04/10/2021,Weekly new hospital admissions per million,156.363
United States,USA,05/10/2021,Daily ICU occupancy,18261
United States,USA,05/10/2021,Daily ICU occupancy per million,53.98
United States,USA,05/10/2021,Daily hospital occupancy,63508
United States,USA,05/10/2021,Daily hospital occupancy per million,187.732
United States,USA,05/10/2021,Weekly new hospital admissions,51911
United States,USA,05/10/2021,Weekly new hospital admissions per million,153.451
United States,USA,06/10/2021,Daily ICU occupancy,17911
United States,USA,06/10/2021,Daily ICU occupancy per million,52.946
United States,USA,06/10/2021,Daily hospital occupancy,62376
United States,USA,06/10/2021,Daily hospital occupancy per million,184.386
United States,USA,06/10/2021,Weekly new hospital admissions,51325
United States,USA,06/10/2021,Weekly new hospital admissions per million,151.719
United States,USA,07/10/2021,Daily ICU occupancy,17482
United States,USA,07/10/2021,Daily ICU occupancy per million,51.678
United States,USA,07/10/2021,Daily hospital occupancy,61095
United States,USA,07/10/2021,Daily hospital occupancy per million,180.6
United States,USA,07/10/2021,Weekly new hospital admissions,50749
United States,USA,07/10/2021,Weekly new hospital admissions per million,150.016
United States,USA,08/10/2021,Daily ICU occupancy,17010
United States,USA,08/10/2021,Daily ICU occupancy per million,50.282
United States,USA,08/10/2021,Daily hospital occupancy,59461
United States,USA,08/10/2021,Daily hospital occupancy per million,175.769
United States,USA,08/10/2021,Weekly new hospital admissions,50012
United States,USA,08/10/2021,Weekly new hospital admissions per million,147.838
United States,USA,09/10/2021,Daily ICU occupancy,17374
United States,USA,09/10/2021,Daily ICU occupancy per million,51.358
United States,USA,09/10/2021,Daily hospital occupancy,57940
United States,USA,09/10/2021,Daily hospital occupancy per million,171.273
United States,USA,09/10/2021,Weekly new hospital admissions,49558
United States,USA,09/10/2021,Weekly new hospital admissions per million,146.496
United States,USA,10/10/2021,Daily ICU occupancy,17888
United States,USA,10/10/2021,Daily ICU occupancy per million,52.878
United States,USA,10/10/2021,Daily hospital occupancy,57496
United States,USA,10/10/2021,Daily hospital occupancy per million,169.961
United States,USA,10/10/2021,Weekly new hospital admissions,49131
United States,USA,10/10/2021,Weekly new hospital admissions per million,145.233
United States,USA,11/10/2021,Daily ICU occupancy,17902
United States,USA,11/10/2021,Daily ICU occupancy per million,52.919
United States,USA,11/10/2021,Daily hospital occupancy,57618
United States,USA,11/10/2021,Daily hospital occupancy per million,170.321
United States,USA,11/10/2021,Weekly new hospital admissions,48605
United States,USA,11/10/2021,Weekly new hospital admissions per million,143.679
United States,USA,12/10/2021,Daily ICU occupancy,17755
United States,USA,12/10/2021,Daily ICU occupancy per million,52.485
United States,USA,12/10/2021,Daily hospital occupancy,56985
United States,USA,12/10/2021,Daily hospital occupancy per million,168.45
United States,USA,12/10/2021,Weekly new hospital admissions,47947
United States,USA,12/10/2021,Weekly new hospital admissions per million,141.733
United States,USA,13/10/2021,Daily ICU occupancy,17534
United States,USA,13/10/2021,Daily ICU occupancy per million,51.831
United States,USA,13/10/2021,Daily hospital occupancy,55885
United States,USA,13/10/2021,Daily hospital occupancy per million,165.199
United States,USA,13/10/2021,Weekly new hospital admissions,47118
United States,USA,13/10/2021,Weekly new hospital admissions per million,139.283
United States,USA,14/10/2021,Daily ICU occupancy,17069
United States,USA,14/10/2021,Daily ICU occupancy per million,50.457
United States,USA,14/10/2021,Daily hospital occupancy,54564
United States,USA,14/10/2021,Daily hospital occupancy per million,161.294
United States,USA,14/10/2021,Weekly new hospital admissions,46285
United States,USA,14/10/2021,Weekly new hospital admissions per million,136.821
United States,USA,15/10/2021,Daily ICU occupancy,16724
United States,USA,15/10/2021,Daily ICU occupancy per million,49.437
United States,USA,15/10/2021,Daily hospital occupancy,53358
United States,USA,15/10/2021,Daily hospital occupancy per million,157.729
United States,USA,15/10/2021,Weekly new hospital admissions,45764
United States,USA,15/10/2021,Weekly new hospital admissions per million,135.28
United States,USA,16/10/2021,Daily ICU occupancy,16201
United States,USA,16/10/2021,Daily ICU occupancy per million,47.891
United States,USA,16/10/2021,Daily hospital occupancy,51837
United States,USA,16/10/2021,Daily hospital occupancy per million,153.232
United States,USA,16/10/2021,Weekly new hospital admissions,45118
United States,USA,16/10/2021,Weekly new hospital admissions per million,133.371
United States,USA,17/10/2021,Daily ICU occupancy,16038
United States,USA,17/10/2021,Daily ICU occupancy per million,47.409
United States,USA,17/10/2021,Daily hospital occupancy,51504
United States,USA,17/10/2021,Daily hospital occupancy per million,152.248
United States,USA,17/10/2021,Weekly new hospital admissions,44459
United States,USA,17/10/2021,Weekly new hospital admissions per million,131.423
United States,USA,18/10/2021,Daily ICU occupancy,16213
United States,USA,18/10/2021,Daily ICU occupancy per million,47.926
United States,USA,18/10/2021,Daily hospital occupancy,51723
United States,USA,18/10/2021,Daily hospital occupancy per million,152.896
United States,USA,18/10/2021,Weekly new hospital admissions,43837
United States,USA,18/10/2021,Weekly new hospital admissions per million,129.584
United States,USA,19/10/2021,Daily ICU occupancy,15980
United States,USA,19/10/2021,Daily ICU occupancy per million,47.238
United States,USA,19/10/2021,Daily hospital occupancy,50595
United States,USA,19/10/2021,Daily hospital occupancy per million,149.561
United States,USA,19/10/2021,Weekly new hospital admissions,43019
United States,USA,19/10/2021,Weekly new hospital admissions per million,127.166
United States,USA,20/10/2021,Daily ICU occupancy,15678
United States,USA,20/10/2021,Daily ICU occupancy per million,46.345
United States,USA,20/10/2021,Daily hospital occupancy,49311
United States,USA,20/10/2021,Daily hospital occupancy per million,145.766
United States,USA,20/10/2021,Weekly new hospital admissions,42169
United States,USA,20/10/2021,Weekly new hospital admissions per million,124.653
United States,USA,21/10/2021,Daily ICU occupancy,15312
United States,USA,21/10/2021,Daily ICU occupancy per million,45.263
United States,USA,21/10/2021,Daily hospital occupancy,48405
United States,USA,21/10/2021,Daily hospital occupancy per million,143.087
United States,USA,21/10/2021,Weekly new hospital admissions,41595
United States,USA,21/10/2021,Weekly new hospital admissions per million,122.957
United States,USA,22/10/2021,Daily ICU occupancy,15078
United States,USA,22/10/2021,Daily ICU occupancy per million,44.571
United States,USA,22/10/2021,Daily hospital occupancy,47454
United States,USA,22/10/2021,Daily hospital occupancy per million,140.276
United States,USA,22/10/2021,Weekly new hospital admissions,40788
United States,USA,22/10/2021,Weekly new hospital admissions per million,120.571
United States,USA,23/10/2021,Daily ICU occupancy,14681
United States,USA,23/10/2021,Daily ICU occupancy per million,43.398
United States,USA,23/10/2021,Daily hospital occupancy,46398
United States,USA,23/10/2021,Daily hospital occupancy per million,137.155
United States,USA,23/10/2021,Weekly new hospital admissions,40087
United States,USA,23/10/2021,Weekly new hospital admissions per million,118.499
United States,USA,24/10/2021,Daily ICU occupancy,14445
United States,USA,24/10/2021,Daily ICU occupancy per million,42.7
United States,USA,24/10/2021,Daily hospital occupancy,46114
United States,USA,24/10/2021,Daily hospital occupancy per million,136.315
United States,USA,24/10/2021,Weekly new hospital admissions,39514
United States,USA,24/10/2021,Weekly new hospital admissions per million,116.805
United States,USA,25/10/2021,Daily ICU occupancy,14612
United States,USA,25/10/2021,Daily ICU occupancy per million,43.194
United States,USA,25/10/2021,Daily hospital occupancy,46380
United States,USA,25/10/2021,Daily hospital occupancy per million,137.101
United States,USA,25/10/2021,Weekly new hospital admissions,39109
United States,USA,25/10/2021,Weekly new hospital admissions per million,115.608
United States,USA,26/10/2021,Daily ICU occupancy,14543
United States,USA,26/10/2021,Daily ICU occupancy per million,42.99
United States,USA,26/10/2021,Daily hospital occupancy,45821
United States,USA,26/10/2021,Daily hospital occupancy per million,135.449
United States,USA,26/10/2021,Weekly new hospital admissions,38501
United States,USA,26/10/2021,Weekly new hospital admissions per million,113.811
United States,USA,27/10/2021,Daily ICU occupancy,14398
United States,USA,27/10/2021,Daily ICU occupancy per million,42.561
United States,USA,27/10/2021,Daily hospital occupancy,45003
United States,USA,27/10/2021,Daily hospital occupancy per million,133.031
United States,USA,27/10/2021,Weekly new hospital admissions,38116
United States,USA,27/10/2021,Weekly new hospital admissions per million,112.673
United States,USA,28/10/2021,Daily ICU occupancy,14100
United States,USA,28/10/2021,Daily ICU occupancy per million,41.68
United States,USA,28/10/2021,Daily hospital occupancy,44195
United States,USA,28/10/2021,Daily hospital occupancy per million,130.642
United States,USA,28/10/2021,Weekly new hospital admissions,37563
United States,USA,28/10/2021,Weekly new hospital admissions per million,111.038
United States,USA,29/10/2021,Daily ICU occupancy,12455
United States,USA,29/10/2021,Daily ICU occupancy per million,36.818
United States,USA,29/10/2021,Daily hospital occupancy,43513
United States,USA,29/10/2021,Daily hospital occupancy per million,128.626
United States,USA,29/10/2021,Weekly new hospital admissions,37212
United States,USA,29/10/2021,Weekly new hospital admissions per million,110
United States,USA,30/10/2021,Daily ICU occupancy,12152
United States,USA,30/10/2021,Daily ICU occupancy per million,35.922
United States,USA,30/10/2021,Daily hospital occupancy,42766
United States,USA,30/10/2021,Daily hospital occupancy per million,126.418
United States,USA,30/10/2021,Weekly new hospital admissions,36950
United States,USA,30/10/2021,Weekly new hospital admissions per million,109.226
United States,USA,31/10/2021,Daily ICU occupancy,12092
United States,USA,31/10/2021,Daily ICU occupancy per million,35.744
United States,USA,31/10/2021,Daily hospital occupancy,42513
United States,USA,31/10/2021,Daily hospital occupancy per million,125.67
United States,USA,31/10/2021,Weekly new hospital admissions,36672
United States,USA,31/10/2021,Weekly new hospital admissions per million,108.404
United States,USA,01/11/2021,Daily ICU occupancy,12108
United States,USA,01/11/2021,Daily ICU occupancy per million,35.792
United States,USA,01/11/2021,Daily hospital occupancy,42623
United States,USA,01/11/2021,Daily hospital occupancy per million,125.996
United States,USA,01/11/2021,Weekly new hospital admissions,36142
United States,USA,01/11/2021,Weekly new hospital admissions per million,106.837
United States,USA,02/11/2021,Daily ICU occupancy,11947
United States,USA,02/11/2021,Daily ICU occupancy per million,35.316
United States,USA,02/11/2021,Daily hospital occupancy,42291
United States,USA,02/11/2021,Daily hospital occupancy per million,125.014
United States,USA,02/11/2021,Weekly new hospital admissions,36058
United States,USA,02/11/2021,Weekly new hospital admissions per million,106.589
United States,USA,03/11/2021,Daily ICU occupancy,11766
United States,USA,03/11/2021,Daily ICU occupancy per million,34.781
United States,USA,03/11/2021,Daily hospital occupancy,41982
United States,USA,03/11/2021,Daily hospital occupancy per million,124.101
United States,USA,03/11/2021,Weekly new hospital admissions,35888
United States,USA,03/11/2021,Weekly new hospital admissions per million,106.087
United States,USA,04/11/2021,Daily ICU occupancy,11555
United States,USA,04/11/2021,Daily ICU occupancy per million,34.157
United States,USA,04/11/2021,Daily hospital occupancy,41357
United States,USA,04/11/2021,Daily hospital occupancy per million,122.253
United States,USA,04/11/2021,Weekly new hospital admissions,35756
United States,USA,04/11/2021,Weekly new hospital admissions per million,105.696
United States,USA,05/11/2021,Daily ICU occupancy,11341
United States,USA,05/11/2021,Daily ICU occupancy per million,33.525
United States,USA,05/11/2021,Daily hospital occupancy,40945
United States,USA,05/11/2021,Daily hospital occupancy per million,121.035
United States,USA,05/11/2021,Weekly new hospital admissions,35650
United States,USA,05/11/2021,Weekly new hospital admissions per million,105.383
United States,USA,06/11/2021,Daily ICU occupancy,11231
United States,USA,06/11/2021,Daily ICU occupancy per million,33.199
United States,USA,06/11/2021,Daily hospital occupancy,40176
United States,USA,06/11/2021,Daily hospital occupancy per million,118.762
United States,USA,06/11/2021,Weekly new hospital admissions,35539
United States,USA,06/11/2021,Weekly new hospital admissions per million,105.055
United States,USA,07/11/2021,Daily ICU occupancy,11210
United States,USA,07/11/2021,Daily ICU occupancy per million,33.137
United States,USA,07/11/2021,Daily hospital occupancy,40472
United States,USA,07/11/2021,Daily hospital occupancy per million,119.637
United States,USA,07/11/2021,Weekly new hospital admissions,35717
United States,USA,07/11/2021,Weekly new hospital admissions per million,105.581
United States,USA,08/11/2021,Daily ICU occupancy,11332
United States,USA,08/11/2021,Daily ICU occupancy per million,33.498
United States,USA,08/11/2021,Daily hospital occupancy,41349
United States,USA,08/11/2021,Daily hospital occupancy per million,122.23
United States,USA,08/11/2021,Weekly new hospital admissions,36204
United States,USA,08/11/2021,Weekly new hospital admissions per million,107.021
United States,USA,09/11/2021,Daily ICU occupancy,11356
